Product,Status,Release Date,Code Name,Cores,P-Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Pentium Gold 8500,Launched,Q1'22,Alder Lake,5,1,6,7,4.40,N/A,29,8,Intel Smart Cache,64,"Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,Intel UHD Graphics for 12th Gen Intel Processors
Pentium Gold 8505,Launched,Q1'22,Alder Lake,5,1,6,7,4.40,N/A,55,8,Intel Smart Cache,64,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to LPDDR5 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,Intel UHD Graphics for 12th Gen Intel Processors
Pentium Gold 8505 (with IPU),Launched,Q1'22,Alder Lake,5,1,6,7,4.40,N/A,55,8,Intel Smart Cache,64,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s, Up to LPDDR5x 5200 MT/s, Up to LPDDR4x 4267 MT/s",N/A,Intel UHD Graphics for 12th Gen Intel Processors
Pentium Gold G7400,Launched,Q1'22,Alder Lake,2,2,4,7,N/A,3.70,46,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Pentium Gold G7400E,Launched,Q1'22,Alder Lake,2,2,4,7,N/A,3.60,46,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Pentium Gold G7400T,Launched,Q1'22,Alder Lake,2,2,4,7,N/A,3.10,35,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Pentium Gold G7400TE,Launched,Q1'22,Alder Lake,2,2,4,7,N/A,3.00,35,6,Intel Smart Cache,128,"Up to DDR5 4800 MT/s, Up to DDR4 3200 MT/s",N/A,Intel UHD Graphics 710
Pentium Gold G6405,Launched,Q1'21,Comet Lake,2,2,4,14,N/A,4.10,58,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Pentium Gold G6405T,Launched,Q1'21,Comet Lake,2,2,4,14,N/A,3.50,35,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Pentium Gold G6505,Launched,Q1'21,Comet Lake,2,2,4,14,N/A,4.20,58,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 630 Graphics
Pentium Gold G6505T,Launched,Q1'21,Comet Lake,2,2,4,14,N/A,3.60,35,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 630 Graphics
Pentium Gold G6605,Launched,Q1'21,Comet Lake,2,2,4,14,N/A,4.30,58,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 630 Graphics
Pentium Gold 6500Y,Discontinued,Q1'21,Amber Lake Y,2,2,4,14,3.40,1.10,5,4,Intel Smart Cache,16,"LPDDR3-1866, DDR3L-1600",N/A,Intel UHD 615 Graphics
Pentium Gold 7505,Discontinued,Q4'20,Tiger Lake,2,2,4,10,N/A,3.50,15,4,Intel Smart Cache,64,"DDR4-3200, LPDDR4x-3733",N/A,Intel UHD Graphics for 11th Gen Intel Core Processors
Pentium Gold G6400,Launched,Q2'20,Comet Lake,2,2,4,14,N/A,4.00,58,4,Intel Smart Cache,128,DDR4,2666,Intel UHD 610 Graphics
Pentium Gold G6400E,Launched,Q2'20,Comet Lake,2,2,4,14,N/A,3.80,58,4,Intel Smart Cache,128,DDR4,2400,Intel UHD 610 Graphics
